,V1,V2,mean,variance
1,0.10536,0,0.047784,0.000000
2,0.10536,0.1,0.054335,0.000000
3,0.10536,0.2,0.061497,0.000000
4,0.10536,0.3,0.069290,0.000000
5,0.10536,0.4,0.077729,0.000000
6,0.10536,0.5,0.086827,0.000000
7,0.10536,0.6,0.096591,0.000000
8,0.10536,0.7,0.107021,0.000000
9,0.10536,0.8,0.118114,0.000000
10,0.10536,0.9,0.129861,0.000000
11,0.10536,1,0.142247,0.000001
12,0.10536,1.1,0.155251,0.000001
13,0.10536,1.2,0.168847,0.000001
14,0.10536,1.3,0.183003,0.000001
15,0.10536,1.4,0.197683,0.000001
16,0.10536,1.5,0.212847,0.000001
17,0.10536,1.6,0.228448,0.000002
18,0.10536,1.7,0.244441,0.000002
19,0.10536,1.8,0.260775,0.000002
20,0.10536,1.9,0.277398,0.000003
21,0.10536,2,0.294257,0.000003
22,0.10536,2.1,0.311300,0.000003
23,0.10536,2.2,0.328474,0.000004
24,0.10536,2.3,0.345729,0.000004
25,0.10536,2.4,0.363016,0.000004
26,0.10536,2.5,0.380286,0.000005
27,0.10536,2.6,0.397497,0.000005
28,0.10536,2.7,0.414607,0.000005
29,0.10536,2.8,0.431579,0.000006
30,0.10536,2.9,0.448378,0.000006
31,0.10536,3,0.464975,0.000006
32,0.10536,3.1,0.481340,0.000006
33,0.10536,3.2,0.497452,0.000007
34,0.10536,3.3,0.513290,0.000007
35,0.10536,3.4,0.528837,0.000007
36,0.10536,3.5,0.544078,0.000007
37,0.10536,3.6,0.559003,0.000007
38,0.10536,3.7,0.573601,0.000008
39,0.10536,3.8,0.587866,0.000008
40,0.10536,3.9,0.601793,0.000008
41,0.10536,4,0.615377,0.000008
42,0.22314,0,0.047112,0.000000
43,0.22314,0.1,0.053509,0.000000
44,0.22314,0.2,0.060495,0.000000
45,0.22314,0.3,0.068090,0.000000
46,0.22314,0.4,0.076308,0.000000
47,0.22314,0.5,0.085161,0.000000
48,0.22314,0.6,0.094655,0.000000
49,0.22314,0.7,0.104792,0.000000
50,0.22314,0.8,0.115567,0.000000
51,0.22314,0.9,0.126973,0.000000
52,0.22314,1,0.138995,0.000001
53,0.22314,1.1,0.151613,0.000001
54,0.22314,1.2,0.164803,0.000001
55,0.22314,1.3,0.178536,0.000001
